,name,in_degree,out_degree,total_degree
297,HUTCHISON PORT HOLDINGS MANAGEMENT PRIVATE LIMITED,1,0,1
298,HWA HONG CORPORATION LIMITED,1,1,2
299,HYFLUX LIMITED,0,0,0
300,HYPHENS PHARMA INTERNATIONAL LIMITED,0,0,0
301,ICP LIMITED,0,0,0
302,IEV HOLDINGS LIMITED,0,0,0
303,IFAST CORPORATION LIMITED,1,0,1
304,IFS CAPITAL LIMITED,0,2,2
305,IHH HEALTHCARE BERHAD,0,0,0
306,IMPERIUM CROWN LIMITED,0,0,0
307,INCH KENNETH KAJANG RUBBER PLC,0,0,0
308,INCREDIBLE HOLDINGS LIMITED,0,0,0
309,INDOFOOD AGRI RESOURCES LIMITED,0,0,0
310,INFORMATICS EDUCATION LIMITED,0,0,0
311,INNOPAC HOLDINGS LIMITED,0,0,0
312,INNOTEK LIMITED,0,0,0
313,INTERNATIONAL CEMENT GROUP LIMITED,0,0,0
314,INTERNATIONAL PRESS SOFTCOM LIMITED,0,0,0
315,INTERRA RESOURCES LIMITED,0,0,0
316,INTRACO LIMITED,0,1,1
317,IPC CORPORATION LIMITED,0,0,0
318,IPS SECUREX HOLDINGS LIMITED,0,0,0
319,IREIT GLOBAL GROUP PRIVATE LIMITED,0,0,0
320,ISDN HOLDINGS LIMITED,0,0,0
321,ISEC HEALTHCARE LIMITED,0,0,0
322,ISETAN SINGAPORE LIMITED,0,0,0
323,ISOTEAM LIMITED,0,0,0
324,IX BIOPHARMA LIMITED,0,0,0
325,JACKSPEED CORPORATION LIMITED,0,0,0
326,JADASON ENTERPRISES LIMITED,0,0,0
327,JAPAN FOODS HOLDING LIMITED,0,0,0
328,JAPFA LIMITED,0,0,0
329,JARDINE CYCLE & CARRIAGE LIMITED,1,0,1
330,JARDINE MATHESON HOLDINGS LIMITED,1,1,2
331,JARDINE STRATEGIC HOLDINGS LIMITED,1,5,6
332,JASON MARINE GROUP LIMITED,0,0,0
333,JASPER INVESTMENTS LIMITED,0,0,0
334,JAWALA INC,0,0,0
335,JB FOODS LIMITED,0,0,0
336,JCG INVESTMENT HOLDINGS LIMITED,0,0,0
337,JEP HOLDINGS LIMITED,2,0,2
338,JES INTERNATIONAL HOLDINGS LIMITED,0,0,0
339,JIUTIAN CHEMICAL GROUP LIMITED,0,0,0
340,JOYAS INTERNATIONAL HOLDINGS LIMITED,0,0,0
341,JUBILEE INDUSTRIES HOLDINGS LIMITED,1,0,1
342,JUMBO GROUP LIMITED,0,0,0
343,KARIN TECHNOLOGY HOLDINGS LIMITED,0,0,0
344,KATRINA GROUP LIMITED,0,0,0
345,KBS US PRIME PROPERTY MANAGEMENT PRIVATE LIMITED,0,0,0
346,KENCANA AGRI LIMITED,1,0,1
347,KEONG HONG HOLDINGS LIMITED,0,1,1
348,KEPPEL CORPORATION LIMITED,1,7,8
349,KEPPEL DC REIT MANAGEMENT PRIVATE LIMITED,2,0,2
350,KEPPEL INFRASTRUCTURE FUND MANAGEMENT PRIVATE LIMITED,2,0,2
351,KEPPEL PACIFIC OAK US REIT MANAGEMENT PRIVATE LIMITED,2,0,2
352,KEPPEL REIT MANAGEMENT LIMITED,3,1,4
353,KHONG GUAN LIMITED,0,0,0
354,KIM HENG OFFSHORE & MARINE HOLDINGS LIMITED,0,0,0
355,KIMLY LIMITED,0,0,0
356,KING WAN CORPORATION LIMITED,0,0,0
357,KINGSMEN CREATIVES LIMITED,0,0,0
358,KITCHEN CULTURE HOLDINGS LIMITED,0,0,0
359,KLW HOLDINGS LIMITED,0,0,0
360,KODA LIMITED,0,0,0
361,KOH BROTHERS ECO ENGINEERING LIMITED,1,0,1
362,KOH BROTHERS GROUP LIMITED,0,1,1
363,KOON HOLDINGS LIMITED,0,0,0
364,KOP LIMITED,0,0,0
365,KORI HOLDINGS LIMITED,1,0,1
366,KOUFU GROUP LIMITED,0,0,0
367,KOYO INTERNATIONAL LIMITED,0,0,0
368,KRISENERGY LIMITED,1,0,1
369,KS ENERGY LIMITED,0,0,0
370,KSH HOLDINGS LIMITED,0,0,0
371,KTL GLOBAL LIMITED,0,0,0
372,KTMG LIMITED,0,0,0
373,LAFE CORPORATION LIMITED,0,0,0
374,LANTROVISION SINGAPORE LIMITED,0,0,0
375,LASSETERS INTERNATIONAL HOLDINGS LIMITED,0,0,0
376,LCT HOLDINGS LIMITED,0,0,0
377,LEADER ENVIRONMENTAL TECHNOLOGIES LIMITED,0,0,0
378,LEY CHOON GROUP HOLDINGS LIMITED,1,0,1
379,LHN LIMITED,1,0,1
380,LHT HOLDINGS LIMITED,0,0,0
381,LIAN BENG GROUP LIMITED,0,1,1
382,LIBRA GROUP LIMITED,0,0,0
383,LIFEBRANDZ LIMITED,0,0,0
384,LINC ENERGY LIMITED,0,0,0
385,LION ASIAPAC LIMITED,0,0,0
386,LIONGOLD CORP LIMITED,0,0,0
387,LMIRT MANAGEMENT LIMITED,1,1,2
388,LONZA GROUP LIMITED,0,0,0
389,LORENZO INTERNATIONAL LIMITED,0,0,0
390,LOW KENG HUAT SINGAPORE LIMITED,0,0,0
391,LUM CHANG HOLDINGS LIMITED,0,0,0
392,LUNG KEE (BERMUDA) HOLDINGS LIMITED,0,0,0
393,LUXKING GROUP HOLDINGS LIMITED,0,0,0
394,LUZHOU BIO-CHEM TECHNOLOGY LIMITED,0,0,0
395,LY CORPORATION LIMITED,0,0,0
396,M DEVELOPMENT LIMITED,0,0,0
397,M&C REIT MANAGEMENT LIMITED,1,1,2
398,MAGNUS ENERGY GROUP LIMITED,0,0,0
399,MALAYSIA SMELTING CORP BHD,1,0,1
400,MANDARIN ORIENTAL INTL LIMITED,1,0,1
401,MANHATTAN RESOURCES LIMITED,0,0,0
402,MANUFACTURING INTEGRATION TECHNOLOGY LIMITED,0,0,0
403,MANULIFE US REAL ESTATE MANAGEMENT PRIVATE LIMITED,1,0,1
404,MAPLETREE COMMERCIAL TRUST MANAGEMENT LIMITED,1,0,1
405,MAPLETREE INDUSTRIAL TRUST MANAGEMENT LIMITED,2,1,3
406,MAPLETREE LOGISTICS TRUST MANAGEMENT LIMITED,1,0,1
407,MAPLETREE NORTH ASIA COMMERCIAL TRUST MANAGEMENT LIMITED,2,1,3
408,MARCO POLO MARINE LIMITED,0,0,0
409,MARUWA COMPANY LIMITED,0,0,0
410,MARY CHIA HOLDINGS LIMITED,0,0,0
411,MATEX INTERNATIONAL LIMITED,0,0,0
412,MAXI-CASH FINANCIAL SERVICES CORPORATION LIMITED,1,0,1
413,MDR LIMITED,0,0,0
414,MEDINEX LIMITED,1,0,1
415,MEDTECS INTERNATIONAL CORP LIMITED,0,0,0
416,MEGACHEM LIMITED,0,0,0
417,MEGHMANI ORGANICS LIMITED,0,0,0
418,MEGROUP LIMITED,0,0,0
419,MEMORIES GROUP LIMITED,1,0,1
420,MEMSTAR TECHNOLOGY LIMITED,0,0,0
421,MENCAST HOLDINGS LIMITED,0,0,0
422,MERCURIUS CAP INVESTMENT LIMITED,0,0,0
423,MERMAID MARITIME PUBLIC COMPANY LIMITED,0,0,0
424,METAL COMPONENT ENGINEERING LIMITED,0,0,0
425,METECH INTERNATIONAL LIMITED,0,0,0
426,METRO HOLDINGS LIMITED,0,0,0
427,MEWAH INTERNATIONAL INC,0,0,0
428,MICRO-MECHANICS HOLDINGS LIMITED,0,0,0
429,MIDAS HOLDINGS LIMITED,0,0,0
430,MINDCHAMPS PRESCHOOL LIMITED,1,0,1
431,MIRACH ENERGY LIMITED,0,0,0
432,MIYOSHI LIMITED,0,0,0
433,MM2 ASIA LIMITED,1,1,2
434,MMP RESOURCES LIMITED,0,0,0
435,MONEYMAX FINANCIAL SERVICES LIMITED,0,0,0
436,MOYA HOLDINGS ASIA LIMITED,0,0,0
437,MS HOLDINGS LIMITED,0,0,0
438,MSM INTERNATIONAL LIMITED,0,0,0
439,MTQ CORPORATION LIMITED,1,0,1
440,MULTI-CHEM LIMITED,0,0,0
441,MUN SIONG ENGINEERING LIMITED,0,0,0
442,MURATA MANUFACTURING COMPANY LIMITED,0,0,0
443,MYP LIMITED,0,0,0
444,NAM CHEONG LIMITED,0,0,0
445,NAM LEE PRESSED METAL INDUSTRIES LIMITED,0,0,0
446,NATURAL COOL HOLDINGS LIMITED,0,0,0
447,NAUTICAWT LIMITED,0,0,0
448,NEO GROUP LIMITED,0,1,1
449,NERA TELECOMMUNICATIONS LIMITED,0,0,0
450,NET PACIFIC FINANCIAL HOLDINGS LIMITED,0,0,0
451,NETLINK NBN MANAGEMENT PRIVATE LIMITED,2,0,2
452,NEW SILKROUTES GROUP LIMITED,0,0,0
453,NEW TOYO INTERNATIONAL HOLDINGS LIMITED,0,0,0
454,NEW WAVE HOLDINGS LIMITED,0,0,0
